tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
g2	-	-	g2	g2	-	chromosome_1:18765-20237	-	-	39.1675	36.3806	41.9544	OK
g3	-	-	g3	g3	-	chromosome_1:20355-23957	-	-	0.113309	0.00772585	0.218893	OK
Cre01.g000050	-	-	Cre01.g000050	RWP14	-	chromosome_1:24025-30617	-	-	1.8936	1.62327	2.16394	OK
Cre01.g000100	-	-	Cre01.g000100	Cre01.g000100	-	chromosome_1:30775-41037	-	-	0.0876144	0.0389528	0.136276	OK
Cre01.g000150	-	-	Cre01.g000150	ZRT2	-	chromosome_1:41895-46547	-	-	2.83416	2.41882	3.2495	OK
Cre01.g000200	-	-	Cre01.g000200	Cre01.g000200	-	chromosome_1:46552-51525	-	-	3.31372	2.79702	3.83042	OK
Cre01.g000250	-	-	Cre01.g000250	Cre01.g000250	-	chromosome_1:51589-54035	-	-	2.45716	1.86555	3.04878	OK
Cre01.g000300	-	-	Cre01.g000300	Cre01.g000300	-	chromosome_1:54135-57919	-	-	8.1172	7.26157	8.97283	OK
Cre01.g000350	-	-	Cre01.g000350	Cre01.g000350	-	chromosome_1:57976-60685	-	-	31.5758	29.2222	33.9293	OK
Cre01.g000400	-	-	Cre01.g000400	Cre01.g000400	-	chromosome_1:60739-64955	-	-	0.226208	0.0710307	0.381386	OK
Cre01.g000450	-	-	Cre01.g000450	Cre01.g000450	-	chromosome_1:65055-70197	-	-	2.07376	1.68204	2.46547	OK
Cre01.g000500	-	-	Cre01.g000500	Cre01.g000500	-	chromosome_1:70245-77235	-	-	4.51177	3.9472	5.07634	OK
Cre01.g000550	-	-	Cre01.g000550	Cre01.g000550	-	chromosome_1:77365-83717	-	-	0.0377913	0	0.0846656	OK
Cre01.g000600	-	-	Cre01.g000600	Cre01.g000600	-	chromosome_1:83749-88945	-	-	13.4306	12.2904	14.5708	OK
Cre01.g000650	-	-	Cre01.g000650	AMX2	-	chromosome_1:89575-97537	-	-	4.20929	3.69883	4.71974	OK
g17	-	-	g17	g17	-	chromosome_1:97539-103735	-	-	0.436159	0.270195	0.602123	OK
Cre01.g000750	-	-	Cre01.g000750	Cre01.g000750	-	chromosome_1:103895-110765	-	-	8.86333	8.1537	9.57297	OK
