tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
g2	-	-	g2	g2	-	chromosome_1:18765-20237	-	-	14.8789	13.2238	16.534	OK
g3	-	-	g3	g3	-	chromosome_1:20355-23957	-	-	0.056227	0	0.127895	OK
Cre01.g000050	-	-	Cre01.g000050	RWP14	-	chromosome_1:24025-30617	-	-	1.18021	0.974557	1.38586	OK
Cre01.g000100	-	-	Cre01.g000100	Cre01.g000100	-	chromosome_1:30775-41037	-	-	0.0484498	0.0135814	0.0833183	OK
Cre01.g000150	-	-	Cre01.g000150	ZRT2	-	chromosome_1:41895-46547	-	-	3.49122	3.04703	3.9354	OK
Cre01.g000200	-	-	Cre01.g000200	Cre01.g000200	-	chromosome_1:46552-51525	-	-	2.11246	1.71493	2.50998	OK
Cre01.g000250	-	-	Cre01.g000250	Cre01.g000250	-	chromosome_1:51589-54035	-	-	3.3395	2.67492	4.00409	OK
Cre01.g000300	-	-	Cre01.g000300	Cre01.g000300	-	chromosome_1:54135-57919	-	-	15.4712	14.333	16.6094	OK
Cre01.g000350	-	-	Cre01.g000350	Cre01.g000350	-	chromosome_1:57976-60685	-	-	30.3764	28.1521	32.6007	OK
Cre01.g000400	-	-	Cre01.g000400	Cre01.g000400	-	chromosome_1:60739-64955	-	-	0.382999	0.188435	0.577562	OK
Cre01.g000450	-	-	Cre01.g000450	Cre01.g000450	-	chromosome_1:65055-70197	-	-	2.26629	1.87171	2.66087	OK
Cre01.g000500	-	-	Cre01.g000500	Cre01.g000500	-	chromosome_1:70245-77235	-	-	2.82212	2.39187	3.25237	OK
Cre01.g000550	-	-	Cre01.g000550	Cre01.g000550	-	chromosome_1:77365-83717	-	-	0.028336	0	0.0674467	OK
Cre01.g000600	-	-	Cre01.g000600	Cre01.g000600	-	chromosome_1:83749-88945	-	-	9.25714	8.345	10.1693	OK
Cre01.g000650	-	-	Cre01.g000650	AMX2	-	chromosome_1:89575-97537	-	-	2.7013	2.30728	3.09533	OK
