tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
g2	-	-	g2	g2	-	chromosome_1:18765-20237	-	-	22.7968	20.6052	24.9883	OK
g3	-	-	g3	g3	-	chromosome_1:20355-23957	-	-	0.155152	0.0278016	0.282502	OK
Cre01.g000050	-	-	Cre01.g000050	RWP14	-	chromosome_1:24025-30617	-	-	4.6403	4.2041	5.07651	OK
Cre01.g000100	-	-	Cre01.g000100	Cre01.g000100	-	chromosome_1:30775-41037	-	-	0.362437	0.26042	0.464454	OK
Cre01.g000150	-	-	Cre01.g000150	ZRT2	-	chromosome_1:41895-46547	-	-	3.12255	2.67319	3.57192	OK
Cre01.g000200	-	-	Cre01.g000200	Cre01.g000200	-	chromosome_1:46552-51525	-	-	5.75164	5.04997	6.45332	OK
Cre01.g000250	-	-	Cre01.g000250	Cre01.g000250	-	chromosome_1:51589-54035	-	-	3.51871	2.78896	4.24845	OK
Cre01.g000300	-	-	Cre01.g000300	Cre01.g000300	-	chromosome_1:54135-57919	-	-	5.74951	5.00725	6.49177	OK
Cre01.g000350	-	-	Cre01.g000350	Cre01.g000350	-	chromosome_1:57976-60685	-	-	42.0751	39.2747	44.8754	OK
Cre01.g000400	-	-	Cre01.g000400	Cre01.g000400	-	chromosome_1:60739-64955	-	-	0.292177	0.110393	0.473961	OK
Cre01.g000450	-	-	Cre01.g000450	Cre01.g000450	-	chromosome_1:65055-70197	-	-	2.26743	1.84524	2.68963	OK
Cre01.g000500	-	-	Cre01.g000500	Cre01.g000500	-	chromosome_1:70245-77235	-	-	4.68812	4.09492	5.28133	OK
Cre01.g000550	-	-	Cre01.g000550	Cre01.g000550	-	chromosome_1:77365-83717	-	-	0.0217311	0	0.0583697	OK
Cre01.g000600	-	-	Cre01.g000600	Cre01.g000600	-	chromosome_1:83749-88945	-	-	27.845	26.1528	29.5373	OK
Cre01.g000650	-	-	Cre01.g000650	AMX2	-	chromosome_1:89575-97537	-	-	12.0356	11.1459	12.9253	OK
g17	-	-	g17	g17	-	chromosome_1:97539-103735	-	-	0.650871	0.441894	0.859847	OK
Cre01.g000750	-	-	Cre01.g000750	Cre01.g000750	-	chromosome_1:103895-110765	-	-	6.68547	6.0502	7.32074	OK
Cre01.g000800	-	-	Cre01.g000800	Cre01.g000800	-	chromosome_1:111400-113923	-	-	3.71824e-05	0	0.113376	OK
g19	-	-	g19	g19	-	chromosome_1:111400-113935	-	-	1.22534	0.690544	1.76015	OK
Cre01.g000850	-	-	Cre01.g000850	CPLD38	-	chromosome_1:114409-116415	-	-	47.3249	44.2196	50.4303	OK
Cre01.g000900	-	-	Cre01.g000900	CPLD20	-	chromosome_1:116525-120738	-	-	70.6685	67.962	73.375	OK
Cre01.g000950	-	-	Cre01.g000950	Cre01.g000950	-	chromosome_1:121435-126517	-	-	0.020054	0	0.0601621	OK
Cre01.g001000	-	-	Cre01.g001000	Cre01.g001000	-	chromosome_1:126579-132075	-	-	0.125751	0.0368316	0.214671	OK
Cre01.g001100	-	-	Cre01.g001100	Cre01.g001100	-	chromosome_1:133426-138095	-	-	23.9451	22.5173	25.3729	OK
Cre01.g001150	-	-	Cre01.g001150	Cre01.g001150	-	chromosome_1:138225-151966	-	-	2.46058	2.21802	2.70315	OK
Cre01.g001200	-	-	Cre01.g001200	Cre01.g001200	-	chromosome_1:152545-165736	-	-	16.467	15.8128	17.1211	OK
g28	-	-	g28	g28	-	chromosome_1:166881-177525	-	-	4.5425	4.21032	4.87469	OK
g29	-	-	g29	g29	-	chromosome_1:179761-209575	-	-	0.305711	0.240424	0.370997	OK
Cre01.g001350	-	-	Cre01.g001350	Cre01.g001350	-	chromosome_1:209955-218641	-	-	0.294796	0.142564	0.447027	OK
Cre01.g001400	-	-	Cre01.g001400	ZMP1	-	chromosome_1:218741-224662	-	-	1.0064	0.783439	1.22935	OK
g32	-	-	g32	g32	-	chromosome_1:225011-229655	-	-	0.296801	0.130175	0.463427	OK
g33	-	-	g33	g33	-	chromosome_1:230215-237771	-	-	3.39778	2.93988	3.85568	OK
Cre01.g001550	-	-	Cre01.g001550	Cre01.g001550	-	chromosome_1:237941-243824	-	-	39.2953	37.3036	41.2871	OK
Cre01.g001600	-	-	Cre01.g001600	Cre01.g001600	-	chromosome_1:245101-248187	-	-	0.930539	0.643419	1.21766	OK
Cre01.g001650	-	-	Cre01.g001650	Cre01.g001650	-	chromosome_1:248745-253111	-	-	3.50394	2.85532	4.15256	OK
g37	-	-	g37	g37	-	chromosome_1:253211-264398	-	-	3.06507	2.40404	3.7261	OK
g38	-	-	g38	g38	-	chromosome_1:264834-268411	-	-	12.2797	11.13	13.4293	OK
g39	-	-	g39	g39	-	chromosome_1:268505-270501	-	-	0.647831	0.317049	0.978614	OK
g40	-	-	g40	g40	-	chromosome_1:272551-286183	-	-	13.5082	12.4811	14.5353	OK
g41	-	-	g41	g41	-	chromosome_1:286441-290513	-	-	44.1999	42.498	45.9018	OK
g42	-	-	g42	g42	-	chromosome_1:291005-305011	-	-	10.5187	9.98784	11.0496	OK
Cre01.g001750	-	-	Cre01.g001750	TIG1	-	chromosome_1:306537-313443	-	-	33.4335	31.4894	35.3776	OK
Cre01.g001800	-	-	Cre01.g001800	Cre01.g001800	-	chromosome_1:313541-324653	-	-	9.02567	8.25735	9.79398	OK
Cre01.g001950	-	-	Cre01.g001950	Cre01.g001950	-	chromosome_1:324655-329091	-	-	3.35148	2.76806	3.9349	OK
g46	-	-	g46	g46	-	chromosome_1:329306-333421	-	-	33.3897	30.1305	36.6489	OK
Cre01.g002050	-	-	Cre01.g002050	Cre01.g002050	-	chromosome_1:333571-340433	-	-	21.0803	19.8051	22.3556	OK
Cre01.g002100	-	-	Cre01.g002100	Cre01.g002100	-	chromosome_1:340481-344893	-	-	2.58811	2.20729	2.96893	OK
Cre01.g002150	-	-	Cre01.g002150	Cre01.g002150	-	chromosome_1:345025-347821	-	-	0.164847	0.0348115	0.294883	OK
Cre01.g002200	-	-	Cre01.g002200	RPB6	-	chromosome_1:347991-350436	-	-	106.37	101.309	111.431	OK
g51	-	-	g51	g51	-	chromosome_1:350580-355595	-	-	0.228698	0.10926	0.348136	OK
g52	-	-	g52	g52	-	chromosome_1:355695-360627	-	-	0.0267374	0	0.0935047	OK
Cre01.g002201	-	-	Cre01.g002201	Cre01.g002201	-	chromosome_1:355695-360627	-	-	3.58102	3.03062	4.13142	OK
Cre01.g002227	-	-	Cre01.g002227	Cre01.g002227	-	chromosome_1:360915-364167	-	-	7.44676	6.36627	8.52725	OK
Cre01.g002236	-	-	Cre01.g002236	Cre01.g002236	-	chromosome_1:364215-367867	-	-	0.000186636	0	0.0673284	OK
g54	-	-	g54	g54	-	chromosome_1:364215-367867	-	-	1.42872	0.992541	1.8649	OK
Cre01.g002250	-	-	Cre01.g002250	Cre01.g002250	-	chromosome_1:367915-372098	-	-	5.57508	4.81287	6.33729	OK
